Code,Grouping,Classification,Specialization,eMed_Profession,Not Sure,MD,DO,eMed_Speciality,eMed_Speciality_ID,Comments,eMed_SubSpeciality,eMed_SubSpeciality_ID,Comments
207XX0005X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,Sports Medicine,Physician,167,184,185,Orthopedic Surgery,637,,Sports Medicine,2622,
207Y00000X,Allopathic & Osteopathic Physicians,Otolaryngology,,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,,,
207YS0123X,Allopathic & Osteopathic Physicians,Otolaryngology,Facial Plastic Surgery,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Facial Plastic Surgery,2623,
207YX0602X,Allopathic & Osteopathic Physicians,Otolaryngology,Otolaryngic Allergy,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Otolaryngic Allergy,2624,
207YX0905X,Allopathic & Osteopathic Physicians,Otolaryngology,Otolaryngology/Facial Plastic Surgery,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Otolaryngology or Facial Plastic Surgery,2625,
207YX0901X,Allopathic & Osteopathic Physicians,Otolaryngology,Otology & Neurotology,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Neurotology,2626,
207YP0228X,Allopathic & Osteopathic Physicians,Otolaryngology,Pediatric Otolaryngology,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Complex Pediatric Otolaryngology,2627,
207YX0007X,Allopathic & Osteopathic Physicians,Otolaryngology,Plastic Surgery within the Head & Neck,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Plastic Surgery within the Head and Neck,2628,
207YS0012X,Allopathic & Osteopathic Physicians,Otolaryngology,Sleep Medicine,Physician,167,184,185,Otolaryngology - Head & Neck Surgery,43,,Sleep Medicine,2629,
208VP0014X,Allopathic & Osteopathic Physicians,Pain Medicine,Interventional Pain Medicine,Physician,167,184,185,Pain Medicine,87,,Interventional Pain Medicine,2630,
208VP0000X,Allopathic & Osteopathic Physicians,Pain Medicine,Pain Medicine,Physician,167,184,185,Pain Medicine,87,,Pain Medicine,2631,
,,,,Physician,167,184,185,Pathology,80,,,,
207ZP0101X,Allopathic & Osteopathic Physicians,Pathology,Anatomic Pathology,Physician,167,184,185,Pathology,80,,Anatomic Pathology,2632,
207ZP0102X,Allopathic & Osteopathic Physicians,Pathology,Anatomic Pathology & Clinical Pathology,Physician,167,184,185,Pathology,80,,Anatomic Pathology & Clinical Pathology,2633,
207ZB0001X,Allopathic & Osteopathic Physicians,Pathology,Blood Banking & Transfusion Medicine,Physician,167,184,185,Pathology,80,,Blood Banking or Transfusion Medicine,977,
207ZP0104X,Allopathic & Osteopathic Physicians,Pathology,Chemical Pathology,Physician,167,184,185,Pathology,80,,Pathology - Chemical,2634,
207ZC0008X,Allopathic & Osteopathic Physicians,Pathology,Clinical Informatics,Physician,167,184,185,Pathology,80,,Clinical Informatics,978,
207ZC0006X,Allopathic & Osteopathic Physicians,Pathology,Clinical Pathology,Physician,167,184,185,Pathology,80,,Clinical Pathology,2635,
207ZP0105X,Allopathic & Osteopathic Physicians,Pathology,Clinical Pathology/Laboratory Medicine,Physician,167,184,185,Pathology,80,,Clinical Pathology or Laboratory Medicine,2636,
207ZC0500X,Allopathic & Osteopathic Physicians,Pathology,Cytopathology,Physician,167,184,185,Pathology,80,,Cytopathology,979,
207ZD0900X,Allopathic & Osteopathic Physicians,Pathology,Dermatopathology,Physician,167,184,185,Pathology,80,,Dermatopathology,980,
207ZF0201X,Allopathic & Osteopathic Physicians,Pathology,Forensic Pathology,Physician,167,184,185,Pathology,80,,Pathology - Forensic,2637,
207ZH0000X,Allopathic & Osteopathic Physicians,Pathology,Hematology,Physician,167,184,185,Pathology,80,,Hematopathology,981,
207ZI0100X,Allopathic & Osteopathic Physicians,Pathology,Immunopathology,Physician,167,184,185,Pathology,80,,Immunopathology,2638,
207ZM0300X,Allopathic & Osteopathic Physicians,Pathology,Medical Microbiology,Physician,167,184,185,Pathology,80,,Pathology - Medical Microbiology,985,
207ZP0007X,Allopathic & Osteopathic Physicians,Pathology,Molecular Genetic Pathology,Physician,167,184,185,Pathology,80,,Pathology - Molecular Genetic,986,
207ZN0500X,Allopathic & Osteopathic Physicians,Pathology,Neuropathology,Physician,167,184,185,Pathology,80,,Neuropathology,982,
207ZP0213X,Allopathic & Osteopathic Physicians,Pathology,Pediatric Pathology,Physician,167,184,185,Pathology,80,,Pathology - Pediatric,987,
208000000X,Allopathic & Osteopathic Physicians,Pediatrics,,Physician,167,184,185,Pediatrics,65,,,,
2080A0000X,Allopathic & Osteopathic Physicians,Pediatrics,Adolescent Medicine,Physician,167,184,185,Pediatrics,65,,Adolescent Medicine,2639,
2080C0008X,Allopathic & Osteopathic Physicians,Pediatrics,Child Abuse Pediatrics,Physician,167,184,185,Pediatrics,65,,Child Abuse Pediatrics,2640,
2080I0007X,Allopathic & Osteopathic Physicians,Pediatrics,Clinical & Laboratory Immunology,Physician,167,184,185,Pediatrics,65,,Clinical & Laboratory Immunology,2641,
2080P0006X,Allopathic & Osteopathic Physicians,Pediatrics,Developmental - Behavioral Pediatrics,Physician,167,184,185,Pediatrics,65,,Developmental Behavioral Pediatrics,990,
2080H0002X,Allopathic & Osteopathic Physicians,Pediatrics,Hospice and Palliative Medicine,Physician,167,184,185,Pediatrics,65,,Hospice and Palliative Medicine,211,
2080T0002X,Allopathic & Osteopathic Physicians,Pediatrics,Medical Toxicology,Physician,167,184,185,Pediatrics,65,,Medical Toxicology,2642,
2080N0001X,Allopathic & Osteopathic Physicians,Pediatrics,Neonatal-Perinatal Medicine,Physician,167,184,185,Pediatrics,65,,Neonatal - Perinatal Medicine,2643,
2080P0008X,Allopathic & Osteopathic Physicians,Pediatrics,Neurodevelopmental Disabilities,Physician,167,184,185,Pediatrics,65,,Neurodevelopmental Disabilities,2644,
2080B0002X,Allopathic & Osteopathic Physicians,Pediatrics,Obesity Medicine,Physician,167,184,185,Pediatrics,65,,Obesity Medicine,2645,
2080P0201X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Allergy/Immunology,Physician,167,184,185,Pediatrics,65,,Pediatric Allergy or Immunology,2646,
2080P0202X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Cardiology,Physician,167,184,185,Pediatrics,65,,Pediatric Cardiology,994,
2080P0203X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Critical Care Medicine,Physician,167,184,185,Pediatrics,65,,Pediatric Critical Care Medicine,2647,
2080P0204X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Emergency Medicine,Physician,167,184,185,Pediatrics,65,,Pediatric Emergency Medicine,2648,
2080P0205X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Endocrinology,Physician,167,184,185,Pediatrics,65,,Pediatric Endocrinology,405,
2080P0206X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Gastroenterology,Physician,167,184,185,Pediatrics,65,,Pediatric Gastroenterology,998,
2080P0207X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Hematology-Oncology,Physician,167,184,185,Pediatrics,65,,Pediatric Hematology - Oncology,2649,
2080P0208X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Infectious Diseases,Physician,167,184,185,Pediatrics,65,,Pediatric Infectious Diseases,2650,
2080P0210X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Nephrology,Physician,167,184,185,Pediatrics,65,,Pediatric Nephrology,1002,
2080P0214X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Pulmonology,Physician,167,184,185,Pediatrics,65,,Pediatric Pulmonology,2651,
2080P0216X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Rheumatology,Physician,167,184,185,Pediatrics,65,,Pediatric Rheumatology,1004,
2080T0004X,Allopathic & Osteopathic Physicians,Pediatrics,Pediatric Transplant Hepatology,Physician,167,184,185,Pediatrics,65,,Pediatric Transplant Hepatology,2652,
2080P1004X,Allopathic & Osteopathic Physicians,Pediatrics,Physician Nutrition Specialist,Physician,167,184,185,Pediatrics,65,,Physician Nutrition Specialist,2653,
2080S0012X,Allopathic & Osteopathic Physicians,Pediatrics,Sleep Medicine,Physician,167,184,185,Pediatrics,65,,Sleep Medicine,2654,
2080S0010X,Allopathic & Osteopathic Physicians,Pediatrics,Sports Medicine,Physician,167,184,185,Pediatrics,65,,Sports Medicine,62,
,,,,Physician,167,184,185,Pediatrics,65,,Pediatric Hospital Medicine,2655,
208000000X,Allopathic & Osteopathic Physicians,Pediatrics,,Physician,167,184,185,Pediatrics,65,,,,
202K00000X,Allopathic & Osteopathic Physicians,Phlebology,,Physician,167,184,185,Phlebology,1648,,,,
208100000X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,,Physician,167,184,185,Physical Medicine & Rehabilitation,1463,,,,
